"tow.id","longitude","latitude","station","new.station","fish.sample","longitude.2013","latitude.2013"
"GP058F",-63.8462841666667,48.3408816666667,"regular","No","No",NA,NA
"GP029F",-64.016415,48.2686475,"regular","No","No",NA,NA
"GP037F",-64.0670258333333,48.2312583333333,"regular","No","Yes",NA,NA
"GP055F",-64.1084132385858,48.1155134463274,"regular","Yes","No",NA,NA
"GP071F",-63.8245358333333,48.1743916666667,"regular","No","No",-63.85325,48.1515666666667
"GP043F",-60.7573333333333,47.4921,"fixed 2013","Yes","No",NA,NA
"GP053F",-63.9389775,48.0347283333333,"regular","No","No",NA,NA
"GP039F",-64.0582133333333,47.9400225,"regular","No","No",-64.0911,47.96305
"GP031F",-64.1712,47.83825,"fixed 2013","Yes","No",NA,NA
"GP045F",-63.9628166666667,47.9438333333333,"fixed 2013","Yes","No",NA,NA
"GP062F",-63.7702158333333,47.9915341666667,"regular","No","No",NA,NA
"GP060F",-63.6768625,48.05774,"regular","No","No",NA,NA
"GP082F",-63.5362208333333,48.1478741666667,"regular","No","No",NA,NA
"GP075F",-63.5063766666667,48.198715,"regular","No","No",-63.6458833333333,48.2364333333333
"GP101F",-63.3994116666667,48.1362916666667,"regular","No","Yes",NA,NA
"GP114F",-63.311325,48.2131391666667,"regular","No","No",NA,NA
"GP126F",-63.20672,48.1513591666667,"regular","No","No",NA,NA
"GP118F",-63.7441632904051,48.2072546318698,"regular","Yes","No",NA,NA
"GP100F",-63.4156883333333,47.9769341666667,"regular","No","No",NA,NA
"GP087F",-63.5366,47.9769666666667,"fixed 2013","Yes","No",NA,NA
"GP092F",-63.5405258333333,47.8309116666667,"regular","No","No",NA,NA
"GP069F",-63.708975,47.90522,"regular","No","No",NA,NA
"GP051F",-63.8739425,47.8199425,"regular","No","No",NA,NA
"GP052F",-63.87842,47.7565858333333,"regular","No","No",NA,NA
"GP047F",-63.8223166666667,47.6586166666667,"fixed 2013","Yes","No",NA,NA
"GP070F",-63.7035333333333,47.6405333333333,"fixed 2013","Yes","Yes",NA,NA
"GP093F",-63.6137866666667,47.6444458333333,"regular","No","Yes",NA,NA
"GP063F",-63.7311166666667,47.7486666666667,"fixed 2013","Yes","Yes",NA,NA
"GP095F",-63.49595,47.7742358333333,"regular","No","Yes",NA,NA
"GP111F",-63.3216083333333,47.80411,"regular","No","Yes",NA,NA
"GP110F",-63.3414141666667,47.8345591666667,"regular","No","No",-63.3940166666667,47.8090666666667
"GP129F",-63.1880433333333,47.926155,"regular","No","No",NA,NA
"GP281F",-61.742055,47.8981666666667,"regular","No","No",NA,NA
"GP258F",-61.9078141666667,47.8674575,"regular","No","Yes",NA,NA
"GP247F",-61.9838933333333,47.8691025,"regular","No","Yes",NA,NA
"GP223F",-62.2393166666667,47.8473833333333,"fixed 2013","Yes","No",NA,NA
"GP209F",-62.4280166666667,47.91055,"fixed 2013","Yes","No",NA,NA
"GP204F",-62.5056975,47.9532658333333,"regular","No","No",NA,NA
"GP193F",-62.5830658333333,47.9150041666667,"regular","No","No",NA,NA
"GP183F",-62.6740233333333,48.0262825,"regular","No","No",NA,NA
"GP172F",-62.8096166666667,48.0287,"fixed 2013","Yes","No",NA,NA
"GP157F",-62.9148816666667,48.07479,"regular","No","Yes",NA,NA
"GP143F",-63.0335,48.1294,"fixed 2013","Yes","No",NA,NA
"GP144F",-63.0574858333333,47.9372716666667,"regular","No","No",-63.1073333333333,48.022
"GP136F",-63.13245,47.8826833333333,"fixed 2013","Yes","No",NA,NA
"GP135F",-63.14675,47.8110166666667,"fixed 2013","Yes","No",NA,NA
"GP145F",-63.0589383333333,47.7827616666667,"regular","No","Yes",NA,NA
"GP131F",-63.1673191666667,47.7659766666667,"regular","No","No",NA,NA
"GP137F",-63.1313658333333,47.6787475,"regular","No","No",NA,NA
"GP132F",-63.17275,47.5702,"fixed 2013","Yes","No",NA,NA
"GP119F",-63.2654233333333,47.6089216666667,"regular","No","No",NA,NA
"GP102F",-63.3965033333333,47.6202116666667,"regular","No","No",NA,NA
"GP108F",-63.3554033333333,47.5615408333333,"regular","No","Yes",NA,NA
"GP104F",-63.4009333333333,47.4409783333333,"regular","No","No",NA,NA
"GP079F",-63.4853583333333,47.3699233333333,"regular","No","No",NA,NA
"GP090F",-63.5141666666667,47.34025,"fixed 2013","Yes","Yes",NA,NA
"GP097F",-63.3359591666667,47.3273116666667,"regular","No","Yes",NA,NA
"GP105F",-63.3147766666667,47.1873258333333,"regular","No","No",NA,NA
"GP124F",-63.2445833333333,47.1770333333333,"fixed 2013","Yes","No",NA,NA
"GP150F",-63.095595,47.0929508333333,"regular","No","No",NA,NA
"GP163F",-62.878735,47.097795,"regular","No","No",NA,NA
"GP191F",-62.51397,47.05827,"regular","No","Yes",NA,NA
"GP210F",-62.340065,47.0109683333333,"regular","No","No",NA,NA
"GP229F",-62.1688,46.9956333333333,"fixed 2013","Yes","No",NA,NA
"GP246F",-62.0212216666667,46.9578241666667,"regular","No","No",NA,NA
"GP252F",-61.857275,46.8907591666667,"regular","No","No",NA,NA
"GP275F",-61.6611166666667,46.8025333333333,"fixed 2013","Yes","No",NA,NA
"GP283F",-61.60915,46.737985,"regular","No","No",NA,NA
"GP241F",-62.04905,46.2993833333333,"fixed 2013","Yes","Yes",NA,NA
"GP231F",-62.1875283333333,46.2118183333333,"regular","No","No",NA,NA
"GP238F",-62.108605,46.1092633333333,"regular","No","No",NA,NA
"GP262F",-61.9300024381272,46.0748320558793,"fixed 2013","Yes","No",NA,NA
"GP264F",-61.84465,46.0839,"fixed 2013","Yes","No",NA,NA
"GP271F",-61.7448441666667,45.9467216666667,"regular","No","Yes",NA,NA
"GP270F",-61.7626858333333,46.0432675,"regular","No","No",NA,NA
"GP277F",-61.5257951390453,46.1338624446866,"regular","Yes","No",NA,NA
"GP266F",-61.7923766666667,46.124435,"regular","No","No",NA,NA
"GP276F",-61.7407333333333,46.25092,"regular","No","Yes",NA,NA
"GP254F",-61.8615441666667,46.2669208333333,"regular","No","No",NA,NA
"GP256F",-61.9163341666667,46.3216583333333,"regular","No","No",NA,NA
"GP255F",-61.9196833333333,47.0372166666667,"fixed 2013","Yes","No",NA,NA
"GP244F",-62.0053,47.00865,"fixed 2013","Yes","No",NA,NA
"GP225F",-60.90385,47.6323,"fixed 2013","Yes","No",NA,NA
"GP349F",-60.4873875,47.0779591666667,"regular","No","No",NA,NA
"GP355F",-60.3640558333333,47.2073033333333,"regular","No","Yes",NA,NA
"GP348F",-60.5507333333333,47.1995833333333,"fixed 2013","Yes","No",NA,NA
"GP343F",-60.6759191666667,47.2196391666667,"regular","No","No",NA,NA
"GP347F",-60.58925,47.3075583333333,"regular","No","Yes",NA,NA
"GP345F",-60.6490675,47.3665991666667,"regular","No","No",NA,NA
"GP338F",-60.776818485586,47.0558505283654,"regular","Yes","No",NA,NA
"GP328F",-60.93367,47.446095,"regular","No","No",NA,NA
"GP337F",-60.8040333333333,47.3700333333333,"fixed 2013","Yes","Yes",NA,NA
"GP333F",-60.8771691666667,47.2716316666667,"regular","No","No",NA,NA
"GP321F",-61.0121333333333,47.3614166666667,"fixed 2013","Yes","Yes",NA,NA
"GP314F",-61.095695,47.3290858333333,"regular","No","No",NA,NA
"GP310F",-61.1379541666667,47.3762908333333,"regular","No","Yes",NA,NA
"GP308F",-61.1557783333333,47.3227991666667,"regular","No","No",NA,NA
"GP311F",-61.1135408333333,47.1665466666667,"regular","No","No",NA,NA
"GP307F",-61.1564475,47.0451783333333,"regular","No","Yes",NA,NA
"GP297F",-61.379545,47.0052716666667,"regular","No","No",NA,NA
"GP296F",-61.397,46.95965,"fixed 2013","Yes","No",NA,NA
"GP285F",-61.5573875,47.0151275,"regular","No","No",NA,NA
"GP228F",-62.21097,47.7239825,"regular","No","No",NA,NA
"GP216F",-62.3806916666667,47.7579091666667,"regular","No","Yes",NA,NA
"GP195F",-62.5846941666667,47.7532991666667,"regular","No","No",NA,NA
"GP178F",-62.7262666666667,47.859,"fixed 2013","Yes","No",NA,NA
"GP168F",-62.8575083333333,47.8519991666667,"regular","No","No",NA,NA
"GP175F",-62.7811291666667,47.79053,"regular","No","Yes",NA,NA
"GP155F",-62.9296533333333,47.7073383333333,"regular","No","Yes",-62.9503166666667,47.7894
"GP171F",-62.8142991666667,47.6837808333333,"regular","No","Yes",NA,NA
"GP173F",-62.7925575,47.6587933333333,"regular","No","No",NA,NA
"GP148F",-63.022165,47.5367975,"regular","No","No",NA,NA
"GP167F",-62.9018833333333,47.5330741666667,"regular","No","Yes",NA,NA
"GP186F",-62.7709933333333,47.4938391666667,"regular","No","No",NA,NA
"GP182F",-62.6787833333333,47.44175,"fixed 2013","Yes","No",NA,NA
"GP160F",-62.90134,47.3854625,"regular","No","No",NA,NA
"GP140F",-63.1293525,47.43419,"regular","No","No",NA,NA
"GP117F",-63.2647183333333,47.3553208333333,"regular","No","No",NA,NA
"GP146F",-63.05857,47.3267975,"regular","No","Yes",NA,NA
"GP116F",-63.1477325,47.2854,"regular","No","No",-63.2807,47.2982833333333
"GP151F",-63.0033758333333,47.1867366666667,"regular","No","No",NA,NA
"GP161F",-62.8356883333333,47.266165,"regular","No","Yes",NA,NA
"GP164F",-62.8764166666667,47.1687783333333,"regular","No","No",NA,NA
"GP177F",-62.7629,47.11985,"fixed 2013","Yes","No",NA,NA
"GP190F",-62.61015,47.2088333333333,"fixed 2013","Yes","Yes",NA,NA
"GP221F",-62.2972666666667,47.1364666666667,"fixed 2013","Yes","No",NA,NA
"GP232F",-62.1886991666667,47.1488791666667,"regular","No","No",NA,NA
"GP279F",-61.6208883333333,46.9291941666667,"regular","No","No",NA,NA
"GP291F",-61.4619195192581,46.9742444170246,"regular","Yes","No",NA,NA
"GP288F",-61.5027275,46.8085133333333,"regular","No","Yes",NA,NA
"GP286F",-61.5463333333333,46.6126333333333,"fixed 2013","Yes","Yes",NA,NA
"GP272F",-61.7457391666667,46.4771575,"regular","No","No",NA,NA
"GP267F",-61.7844741666667,46.3919658333333,"regular","No","Yes",NA,NA
"GP280F",-61.6201825,46.3790766666667,"regular","No","No",NA,NA
"GP284F",-61.5974033333333,46.2175433333333,"regular","No","No",NA,NA
"GP294F",-61.4417183333333,46.2003725,"regular","No","Yes",NA,NA
"GP301F",-61.3822916592089,46.3708116609486,"regular","Yes","No",NA,NA
"GP289F",-61.4765083333333,46.4507758333333,"regular","No","No",NA,NA
"GP298F",-61.4109233333333,46.5100141666667,"regular","No","No",NA,NA
"GP292F",-61.8413666666667,46.6353,"fixed 2013","Yes","No",NA,NA
"GP340F",-60.7508666666667,47.0504,"fixed 2013","Yes","Yes",NA,NA
"GP339F",-60.7591,47.1497166666667,"fixed 2013","Yes","No",NA,NA
"GP329F",-60.9154691666667,47.171015,"regular","No","No",NA,NA
"GP317F",-61.04978,47.1073741666667,"regular","No","No",NA,NA
"GP327F",-60.9578283333333,47.007265,"regular","No","No",NA,NA
"GP332F",-60.8140333333333,46.97955,"fixed 2013","Yes","No",NA,NA
"GP336F",-61.1238,46.68165,"fixed 2013","Yes","No",NA,NA
"GP330F",-60.9018675,46.8347308333333,"regular","No","No",NA,NA
"GP318F",-61.0367183333333,46.8507725,"regular","No","No",NA,NA
"GP322F",-61.0079358333333,46.9364766666667,"regular","No","No",NA,NA
"GP309F",-61.15005,46.9116833333333,"fixed 2013","Yes","Yes",NA,NA
"GP302F",-61.3387341666667,46.8687816666667,"regular","No","No",NA,NA
"GP304F",-61.2553333333333,46.7978666666667,"fixed 2013","Yes","No",NA,NA
"GP299F",-61.3555225,46.733695,"regular","No","Yes",NA,NA
"GP306F",-61.3986670628422,46.6003171359445,"regular","Yes","No",NA,NA
"GP305F",-61.240725,46.6328625,"regular","No","No",NA,NA
"GP319F",-61.2363333333333,46.69315,"fixed 2013","Yes","No",NA,NA
